type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Cycle
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01],24,B0005,0,5121,05121.csv,1
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01],24,B0005,2,5123,05123.csv,2
charge,[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01],24,B0005,4,5125,05125.csv,3
charge,[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01],24,B0005,6,5127,05127.csv,4
charge,[2008.       4.       3.       5.      27.      49.125],24,B0005,8,5129,05129.csv,5
charge,[2008.       4.       3.       9.      44.      35.078],24,B0005,10,5131,05131.csv,6
charge,[2008.       4.       3.      14.       6.      43.234],24,B0005,12,5133,05133.csv,7
charge,[2008.       4.       3.      18.      28.      47.125],24,B0005,14,5135,05135.csv,8
charge,[2008.       4.       3.      22.      38.      27.453],24,B0005,16,5137,05137.csv,9
charge,[2.008e+03 4.000e+00 4.000e+00 2.000e+00 4.800e+01 6.156e+00],24,B0005,18,5139,05139.csv,10
charge,[2.008e+03 4.000e+00 4.000e+00 6.000e+00 5.800e+01 2.960e-01],24,B0005,20,5141,05141.csv,11
charge,[2008.       4.       4.      11.       6.      50.375],24,B0005,22,5143,05143.csv,12
charge,[2008.       4.       4.      15.       5.      59.906],24,B0005,23,5144,05144.csv,13
charge,[2008.       4.       4.      19.       5.      19.234],24,B0005,25,5146,05146.csv,14
charge,[2008.       4.       4.      23.      10.      25.421],24,B0005,27,5148,05148.csv,15
charge,[2008.       4.       5.       3.      28.      57.234],24,B0005,29,5150,05150.csv,16
charge,[2008.       4.       5.       7.      33.      12.734],24,B0005,31,5152,05152.csv,17
charge,[2008.      4.      5.     11.     38.     22.14],24,B0005,33,5154,05154.csv,18
charge,[2008.       4.       5.      15.      42.      11.531],24,B0005,35,5156,05156.csv,19
charge,[2008.       4.       5.      19.      46.      36.125],24,B0005,37,5158,05158.csv,20
charge,[2008.      4.     18.     17.     34.     22.89],24,B0005,39,5160,05160.csv,21
charge,[2008.       4.      18.      22.      53.      58.343],24,B0005,43,5164,05164.csv,22
charge,[2008.       4.      19.       4.      12.       6.343],24,B0005,47,5168,05168.csv,23
charge,[2008.       4.      19.       9.      29.      52.703],24,B0005,51,5172,05172.csv,24
charge,[2008.       4.      19.      14.      43.      41.265],24,B0005,55,5176,05176.csv,25
charge,[2008.      4.     19.     20.      9.     47.75],24,B0005,59,5180,05180.csv,26
charge,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 2.2000e+01 5.3953e+01],24,B0005,63,5184,05184.csv,27
charge,[2008.       4.      20.       6.      35.      39.765],24,B0005,67,5188,05188.csv,28
charge,[2008.       4.      20.      11.      57.       8.765],24,B0005,71,5192,05192.csv,29
charge,[2008.       4.      20.      17.      17.      44.031],24,B0005,75,5196,05196.csv,30
charge,[2008.       4.      20.      22.      31.      18.046],24,B0005,79,5200,05200.csv,31
charge,[2008.       4.      21.      17.      51.      26.312],24,B0005,83,5204,05204.csv,32
charge,[2008.       4.      22.      14.      15.      41.187],24,B0005,84,5205,05205.csv,33
charge,[2008.       4.      22.      17.       4.      53.218],24,B0005,87,5208,05208.csv,34
charge,[2008.       4.      22.      21.      56.      21.406],24,B0005,91,5212,05212.csv,35
charge,[2.0080e+03 4.0000e+00 2.3000e+01 2.0000e+00 4.7000e+01 5.5453e+01],24,B0005,95,5216,05216.csv,36
charge,[2008.       4.      23.       7.      47.      54.718],24,B0005,99,5220,05220.csv,37
charge,[2008.       4.      23.      12.      37.      17.515],24,B0005,103,5224,05224.csv,38
charge,[2008.       4.      23.      17.      35.      42.828],24,B0005,107,5228,05228.csv,39
charge,[2008.       4.      23.      22.      32.       6.671],24,B0005,111,5232,05232.csv,40
charge,[2008.       4.      24.       3.      20.      23.359],24,B0005,115,5236,05236.csv,41
charge,[2008.       4.      24.       8.      18.      41.703],24,B0005,119,5240,05240.csv,42
charge,[2008.      4.     24.     13.     17.     56.25],24,B0005,123,5244,05244.csv,43
charge,[2008.       4.      24.      18.      14.      28.937],24,B0005,127,5248,05248.csv,44
charge,[2008.       4.      24.      23.       6.      34.156],24,B0005,131,5252,05252.csv,45
charge,[2.0080e+03 4.0000e+00 2.5000e+01 1.7000e+01 2.0000e+00 3.5703e+01],24,B0005,134,5255,05255.csv,46
charge,[2008.       4.      25.      21.      32.      20.468],24,B0005,137,5258,05258.csv,47
charge,[2.0080e+03 4.0000e+00 2.6000e+01 2.0000e+00 3.2000e+01 4.1093e+01],24,B0005,141,5262,05262.csv,48
charge,[2008.       4.      26.       7.      25.      23.031],24,B0005,145,5266,05266.csv,49
charge,[2008.       4.      28.      17.      20.      47.859],24,B0005,148,5269,05269.csv,50
charge,[2008.       4.      29.      13.      44.      46.546],24,B0005,151,5272,05272.csv,51
charge,[2008.       4.      29.      18.      34.      10.656],24,B0005,155,5276,05276.csv,52
charge,[2008.       4.      29.      23.      28.      20.218],24,B0005,159,5280,05280.csv,53
charge,[2008.       4.      30.       4.      11.      53.078],24,B0005,163,5284,05284.csv,54
charge,[2008.       4.      30.       9.       9.      32.281],24,B0005,167,5288,05288.csv,55
charge,[2008.       4.      30.      13.      56.      29.843],24,B0005,171,5292,05292.csv,56
charge,[2008.      4.     30.     18.     47.     57.39],24,B0005,175,5296,05296.csv,57
charge,[2008.      4.     30.     23.     42.     27.25],24,B0005,179,5300,05300.csv,58
charge,[2.0080e+03 5.0000e+00 1.0000e+00 4.0000e+00 4.2000e+01 5.7703e+01],24,B0005,183,5304,05304.csv,59
charge,[2.0080e+03 5.0000e+00 1.0000e+00 9.0000e+00 4.3000e+01 1.8359e+01],24,B0005,187,5308,05308.csv,60
charge,[2.0080e+03 5.0000e+00 1.0000e+00 1.4000e+01 4.1000e+01 4.1578e+01],24,B0005,191,5312,05312.csv,61
charge,[2.0080e+03 5.0000e+00 1.0000e+00 1.9000e+01 3.8000e+01 1.7968e+01],24,B0005,195,5316,05316.csv,62
charge,[2.0080e+03 5.0000e+00 2.0000e+00 0.0000e+00 3.7000e+01 2.2234e+01],24,B0005,199,5320,05320.csv,63
charge,[2.0080e+03 5.0000e+00 2.0000e+00 5.0000e+00 2.0000e+01 2.4687e+01],24,B0005,203,5324,05324.csv,64
charge,[2.0080e+03 5.0000e+00 2.0000e+00 1.0000e+01 1.1000e+01 3.1921e+01],24,B0005,207,5328,05328.csv,65
charge,[2.0080e+03 5.0000e+00 2.0000e+00 1.5000e+01 9.0000e+00 4.6812e+01],24,B0005,211,5332,05332.csv,66
charge,[2.0080e+03 5.0000e+00 2.0000e+00 2.0000e+01 2.8000e+01 2.5781e+01],24,B0005,214,5335,05335.csv,67
charge,[2008.       5.       3.       0.      50.      52.187],24,B0005,217,5338,05338.csv,68
charge,[2008.       5.       3.       5.      39.      33.921],24,B0005,221,5342,05342.csv,69
charge,[2008.       5.       3.      10.      36.      35.781],24,B0005,225,5346,05346.csv,70
charge,[2008.      5.      3.     15.     30.     41.64],24,B0005,229,5350,05350.csv,71
charge,[2008.       5.       3.      20.      24.      21.312],24,B0005,233,5354,05354.csv,72
charge,[2.0080e+03 5.0000e+00 4.0000e+00 1.0000e+00 8.0000e+00 2.9578e+01],24,B0005,237,5358,05358.csv,73
charge,[2008.       5.       4.       6.       7.      29.546],24,B0005,241,5362,05362.csv,74
charge,[2008.       5.       4.      11.       6.       2.078],24,B0005,245,5366,05366.csv,75
charge,[2008.       5.       4.      16.       3.      55.281],24,B0005,249,5370,05370.csv,76
charge,[2.0080e+03 5.0000e+00 4.0000e+00 2.1000e+01 2.0000e+00 4.1203e+01],24,B0005,253,5374,05374.csv,77
charge,[2.008e+03 5.000e+00 5.000e+00 2.000e+00 1.000e+00 1.789e+01],24,B0005,257,5378,05378.csv,78
charge,[2008.       5.       5.       6.      53.      38.406],24,B0005,261,5382,05382.csv,79
charge,[2008.       5.       5.      17.      40.      16.687],24,B0005,264,5385,05385.csv,80
charge,[2008.     5.     5.    22.     5.    32.5],24,B0005,267,5388,05388.csv,81
charge,[2008.      5.      6.      3.      3.     53.39],24,B0005,271,5392,05392.csv,82
charge,[2.008e+03 5.000e+00 6.000e+00 8.000e+00 2.000e+00 5.062e+00],24,B0005,275,5396,05396.csv,83
charge,[2008.       5.       6.      12.      50.      20.781],24,B0005,279,5400,05400.csv,84
charge,[2008.       5.       6.      17.      48.      34.906],24,B0005,283,5404,05404.csv,85
charge,[2008.       5.       6.      22.      46.      40.375],24,B0005,287,5408,05408.csv,86
charge,[2008.      5.      7.      3.     42.     15.75],24,B0005,291,5412,05412.csv,87
charge,[2008.       5.       7.       8.      28.      34.453],24,B0005,295,5416,05416.csv,88
charge,[2008.       5.       7.      13.      26.      13.671],24,B0005,299,5420,05420.csv,89
charge,[2008.       5.       7.      18.      23.      54.687],24,B0005,303,5424,05424.csv,90
charge,[2008.       5.       7.      23.      20.      34.515],24,B0005,307,5428,05428.csv,91
charge,[2008.       5.       9.      17.      26.      51.968],24,B0005,314,5435,05435.csv,92
charge,[2.008e+03 5.000e+00 9.000e+00 2.100e+01 5.300e+01 2.810e-01],24,B0005,317,5438,05438.csv,93
charge,[2.0080e+03 5.0000e+00 1.0000e+01 2.0000e+00 4.6000e+01 3.8734e+01],24,B0005,321,5442,05442.csv,94
charge,[2008.       5.      10.       7.      42.      46.312],24,B0005,325,5446,05446.csv,95
charge,[2008.      5.     10.     12.     40.     29.89],24,B0005,329,5450,05450.csv,96
charge,[2008.       5.      10.      17.      36.      13.062],24,B0005,333,5454,05454.csv,97
charge,[2008.       5.      10.      22.      32.       2.937],24,B0005,337,5458,05458.csv,98
charge,[2008.       5.      11.       3.      29.      30.359],24,B0005,341,5462,05462.csv,99
charge,[2008.       5.      11.       8.      19.      27.953],24,B0005,345,5466,05466.csv,100
charge,[2008.      5.     11.     13.     16.     38.64],24,B0005,349,5470,05470.csv,101
charge,[2008.       5.      11.      18.      13.      51.109],24,B0005,353,5474,05474.csv,102
charge,[2008.       5.      11.      23.      10.      55.875],24,B0005,357,5478,05478.csv,103
charge,[2008.       5.      12.       4.       0.      32.718],24,B0005,361,5482,05482.csv,104
charge,[2008.      5.     12.     16.     11.     11.14],24,B0005,365,5486,05486.csv,105
charge,[2008.       5.      12.      20.      23.      51.828],24,B0005,368,5489,05489.csv,106
charge,[2.0080e+03 5.0000e+00 1.3000e+01 1.0000e+00 1.6000e+01 5.1859e+01],24,B0005,372,5493,05493.csv,107
charge,[2008.       5.      13.       5.      58.      50.796],24,B0005,376,5497,05497.csv,108
charge,[2.008e+03 5.000e+00 1.300e+01 1.000e+01 4.700e+01 1.828e+00],24,B0005,380,5501,05501.csv,109
charge,[2008.       5.      13.      15.      43.      41.296],24,B0005,384,5505,05505.csv,110
charge,[2008.       5.      13.      20.      27.      29.109],24,B0005,388,5509,05509.csv,111
charge,[2.0080e+03 5.0000e+00 1.4000e+01 1.0000e+00 2.2000e+01 3.4765e+01],24,B0005,392,5513,05513.csv,112
charge,[2008.       5.      14.       6.      18.      57.625],24,B0005,396,5517,05517.csv,113
charge,[2008.       5.      14.      11.      15.      12.671],24,B0005,400,5521,05521.csv,114
charge,[2008.       5.      14.      15.      58.      13.406],24,B0005,404,5525,05525.csv,115
charge,[2008.       5.      14.      20.      54.      30.671],24,B0005,408,5529,05529.csv,116
charge,[2.0080e+03 5.0000e+00 1.5000e+01 1.0000e+00 5.0000e+01 3.8062e+01],24,B0005,412,5533,05533.csv,117
charge,[2008.     5.    15.     6.    46.    38.5],24,B0005,416,5537,05537.csv,118
charge,[2008.       5.      15.      11.      42.      28.859],24,B0005,420,5541,05541.csv,119
charge,[2008.       5.      15.      16.      33.      24.093],24,B0005,424,5545,05545.csv,120
charge,[2008.       5.      15.      21.      19.      13.234],24,B0005,428,5549,05549.csv,121
charge,[2008.       5.      16.      18.      43.      58.906],24,B0005,431,5552,05552.csv,122
charge,[2008.       5.      16.      23.       0.      32.515],24,B0005,434,5555,05555.csv,123
charge,[2008.       5.      17.       3.      54.      49.125],24,B0005,438,5559,05559.csv,124
charge,[2008.       5.      17.       8.      47.      46.703],24,B0005,442,5563,05563.csv,125
charge,[2008.       5.      17.      13.      43.      32.281],24,B0005,446,5567,05567.csv,126
charge,[2008.       5.      17.      18.      37.      55.593],24,B0005,450,5571,05571.csv,127
charge,[2008.       5.      17.      23.      32.      50.468],24,B0005,454,5575,05575.csv,128
charge,[2008.       5.      18.       4.      27.      19.656],24,B0005,458,5579,05579.csv,129
charge,[2008.       5.      18.       9.      22.      51.046],24,B0005,462,5583,05583.csv,130
charge,[2008.       5.      18.      14.       6.      39.921],24,B0005,466,5587,05587.csv,131
charge,[2008.       5.      18.      18.      58.      12.609],24,B0005,470,5591,05591.csv,132
charge,[2008.       5.      18.      23.      53.      33.781],24,B0005,474,5595,05595.csv,133
charge,[2008.       5.      19.       4.      48.      55.437],24,B0005,478,5599,05599.csv,134
charge,[2008.       5.      19.      17.      58.      12.687],24,B0005,481,5602,05602.csv,135
charge,[2008.      5.     19.     22.      8.     37.25],24,B0005,483,5604,05604.csv,136
charge,[2.0080e+03 5.0000e+00 2.0000e+01 2.0000e+00 3.8000e+01 3.5343e+01],24,B0005,486,5607,05607.csv,137
charge,[2008.       5.      20.       7.      33.      50.828],24,B0005,490,5611,05611.csv,138
charge,[2008.       5.      20.      12.      28.      58.687],24,B0005,494,5615,05615.csv,139
charge,[2008.       5.      20.      17.      19.       3.375],24,B0005,498,5619,05619.csv,140
charge,[2008.       5.      20.      22.      12.      15.984],24,B0005,502,5623,05623.csv,141
charge,[2.008e+03 5.000e+00 2.100e+01 3.000e+00 1.000e+00 6.687e+00],24,B0005,506,5627,05627.csv,142
charge,[2008.       5.      21.       7.      45.      45.343],24,B0005,510,5631,05631.csv,143
charge,[2008.       5.      21.      12.      39.      25.421],24,B0005,514,5635,05635.csv,144
charge,[2008.       5.      21.      17.      31.      40.671],24,B0005,518,5639,05639.csv,145
charge,[2008.       5.      21.      22.      23.      21.421],24,B0005,522,5643,05643.csv,146
charge,[2008.       5.      22.       3.       4.      11.015],24,B0005,526,5647,05647.csv,147
charge,[2008.       5.      22.       7.      53.      42.703],24,B0005,530,5651,05651.csv,148
charge,[2008.       5.      22.      12.      44.      24.687],24,B0005,534,5655,05655.csv,149
charge,[2008.       5.      22.      17.      39.       2.953],24,B0005,538,5659,05659.csv,150
charge,[2008.      5.     22.     22.     20.     44.39],24,B0005,542,5663,05663.csv,151
charge,[2008.       5.      23.      17.      12.      57.796],24,B0005,546,5667,05667.csv,152
charge,[2.008e+03 5.000e+00 2.300e+01 2.100e+01 3.600e+01 7.500e-01],24,B0005,549,5670,05670.csv,153
charge,[2.0080e+03 5.0000e+00 2.4000e+01 2.0000e+00 3.0000e+01 3.4593e+01],24,B0005,553,5674,05674.csv,154
charge,[2008.      5.     24.      7.     21.     25.14],24,B0005,557,5678,05678.csv,155
charge,[2008.       5.      24.      12.       3.      55.937],24,B0005,561,5682,05682.csv,156
charge,[2008.       5.      24.      16.      52.       7.875],24,B0005,565,5686,05686.csv,157
charge,[2008.      5.     24.     21.     42.     10.75],24,B0005,569,5690,05690.csv,158
charge,[2.008e+03 5.000e+00 2.500e+01 2.000e+00 2.700e+01 3.725e+01],24,B0005,573,5694,05694.csv,159
charge,[2008.       5.      25.       7.      18.       6.015],24,B0005,577,5698,05698.csv,160
charge,[2008.       5.      25.      12.      12.      16.578],24,B0005,581,5702,05702.csv,161
charge,[2008.       5.      25.      16.      57.      49.359],24,B0005,585,5706,05706.csv,162
charge,[2008.       5.      25.      21.      43.      40.953],24,B0005,589,5710,05710.csv,163
charge,[2.0080e+03 5.0000e+00 2.6000e+01 2.0000e+00 3.3000e+01 3.9031e+01],24,B0005,593,5714,05714.csv,164
charge,[2008.       5.      26.       7.      21.      44.953],24,B0005,597,5718,05718.csv,165
charge,[2008.       5.      26.      12.       5.       7.078],24,B0005,601,5722,05722.csv,166
charge,[2008.       5.      26.      16.      51.      13.375],24,B0005,605,5726,05726.csv,167
charge,[2008.       5.      26.      21.      41.      33.468],24,B0005,609,5730,05730.csv,168
charge,[2008.       5.      27.      17.      53.      59.765],24,B0005,612,5733,05733.csv,169
charge,[2008.       5.      28.      11.       9.      42.046],24,B0005,615,5736,05736.csv,170
