type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Cycle
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,B0005,1,5122,05122.csv,1.856487421,1
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,B0005,3,5124,05124.csv,1.84632725,2
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,B0005,5,5126,05126.csv,1.835349194,3
discharge,[2008.       4.       3.       4.      16.      37.375],24,B0005,7,5128,05128.csv,1.835262528,4
discharge,[2008.       4.       3.       8.      33.      25.703],24,B0005,9,5130,05130.csv,1.834645508,5
discharge,[2008.       4.       3.      12.      55.      10.687],24,B0005,11,5132,05132.csv,1.83566166,6
discharge,[2008.       4.       3.      17.      17.      16.015],24,B0005,13,5134,05134.csv,1.835146143,7
discharge,[2008.       4.       3.      21.      28.      14.718],24,B0005,15,5136,05136.csv,1.825756791,8
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,B0005,17,5138,05138.csv,1.824773853,9
discharge,[2008.       4.       4.       5.      48.       8.609],24,B0005,19,5140,05140.csv,1.824613268,10
discharge,[2008.       4.       4.       9.      57.      19.765],24,B0005,21,5142,05142.csv,1.824619553,11
discharge,[2008.       4.       4.      17.      56.      27.609],24,B0005,24,5145,05145.csv,1.814201936,12
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],24,B0005,26,5147,05147.csv,1.813752158,13
discharge,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],24,B0005,28,5149,05149.csv,1.813440491,14
discharge,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],24,B0005,30,5151,05151.csv,1.802598004,15
discharge,[2008.       4.       5.      10.      30.      32.312],24,B0005,32,5153,05153.csv,1.8021069,16
discharge,[2008.       4.       5.      14.      34.      41.468],24,B0005,34,5155,05155.csv,1.802579501,17
discharge,[2008.       4.       5.      18.      39.      25.218],24,B0005,36,5157,05157.csv,1.803068314,18
discharge,[2008.       4.       5.      22.      46.      35.484],24,B0005,38,5159,05159.csv,1.802777625,19
discharge,[2008.       4.      18.      21.      10.      19.796],24,B0005,41,5162,05162.csv,1.847025995,20
discharge,[2008    4   19    2   29    9],24,B0005,45,5166,05166.csv,1.847417311,21
discharge,[2008.       4.      19.       7.      47.      15.703],24,B0005,49,5170,05170.csv,1.836177421,22
discharge,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01],24,B0005,53,5174,05174.csv,1.825780748,23
discharge,[2008.       4.      19.      18.      27.      29.828],24,B0005,57,5178,05178.csv,1.825113644,24
discharge,[2008.       4.      19.      23.      41.      55.687],24,B0005,61,5182,05182.csv,1.825581504,25
discharge,[2008.       4.      20.       4.      54.      41.734],24,B0005,65,5186,05186.csv,1.814031128,26
discharge,[2008.       4.      20.      10.      16.      28.859],24,B0005,69,5190,05190.csv,1.814769194,27
discharge,[2008.       4.      20.      15.      37.       5.281],24,B0005,73,5194,05194.csv,1.813969389,28
discharge,[2008.       4.      20.      20.      50.      38.921],24,B0005,77,5198,05198.csv,1.802765665,29
discharge,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00],24,B0005,81,5202,05202.csv,1.80407704,30
discharge,[2008.       4.      22.      15.      33.      49.875],24,B0005,85,5206,05206.csv,1.851802552,31
discharge,[2008.       4.      22.      20.      26.      18.921],24,B0005,89,5210,05210.csv,1.830703846,32
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01],24,B0005,93,5214,05214.csv,1.819904109,33
discharge,[2008.       4.      23.       6.      18.      19.921],24,B0005,97,5218,05218.csv,1.809307964,34
discharge,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01],24,B0005,101,5222,05222.csv,1.804609905,35
discharge,[2008.       4.      23.      16.       6.      25.171],24,B0005,105,5226,05226.csv,1.799377065,36
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01],24,B0005,109,5230,05230.csv,1.788443234,37
discharge,[2.008e+03 4.000e+00 2.400e+01 1.000e+00 5.100e+01 3.389e+01],24,B0005,113,5234,05234.csv,1.782923048,38
discharge,[2.008e+03 4.000e+00 2.400e+01 6.000e+00 5.000e+01 3.100e-02],24,B0005,117,5238,05238.csv,1.773033716,39
discharge,[2008.       4.      24.      11.      49.      24.281],24,B0005,121,5242,05242.csv,1.773037755,40
discharge,[2008.       4.      24.      16.      45.      56.015],24,B0005,125,5246,05246.csv,1.767872111,41
discharge,[2008.       4.      24.      21.      38.      11.078],24,B0005,129,5250,05250.csv,1.76231507,42
discharge,[2008.       4.      25.      12.       3.      44.093],24,B0005,133,5254,05254.csv,1.767617292,43
discharge,[2008.       4.      25.      20.       3.      55.921],24,B0005,135,5256,05256.csv,1.76266836,44
discharge,[2.0080e+03 4.0000e+00 2.6000e+01 1.0000e+00 4.0000e+00 3.5718e+01],24,B0005,139,5260,05260.csv,1.751730487,45
discharge,[2008.      4.     26.      5.     57.     35.14],24,B0005,143,5264,05264.csv,1.741849605,46
discharge,[2008.       4.      26.      10.      58.      25.843],24,B0005,147,5268,05268.csv,1.736091351,47
discharge,[2008.       4.      29.      12.      15.      56.953],24,B0005,149,5270,05270.csv,1.793624015,48
discharge,[2008.       4.      29.      17.       5.      27.781],24,B0005,153,5274,05274.csv,1.783189022,49
discharge,[2008.      4.     29.     22.      0.      4.75],24,B0005,157,5278,05278.csv,1.767364208,50
discharge,[2.0080e+03 4.0000e+00 3.0000e+01 2.0000e+00 4.3000e+01 5.5312e+01],24,B0005,161,5282,05282.csv,1.757017785,51
discharge,[2008.       4.      30.       7.      41.      42.578],24,B0005,165,5286,05286.csv,1.746870618,52
discharge,[2008.       4.      30.      12.      28.      49.265],24,B0005,169,5290,05290.csv,1.741717251,53
discharge,[2008.      4.     30.     17.     20.     16.14],24,B0005,173,5294,05294.csv,1.736422506,54
discharge,[2008.       4.      30.      22.      14.      54.062],24,B0005,177,5298,05298.csv,1.726321724,55
discharge,[2.008e+03 5.000e+00 1.000e+00 3.000e+00 1.500e+01 3.314e+01],24,B0005,181,5302,05302.csv,1.715806539,56
discharge,[2.008e+03 5.000e+00 1.000e+00 8.000e+00 1.600e+01 3.343e+00],24,B0005,185,5306,05306.csv,1.710533351,57
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.3000e+01 1.4000e+01 2.4875e+01],24,B0005,189,5310,05310.csv,1.7060145,58
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.8000e+01 1.1000e+01 1.0984e+01],24,B0005,193,5314,05314.csv,1.700311027,59
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 2.3000e+01 1.0000e+01 1.5265e+01],24,B0005,197,5318,05318.csv,1.69457986,60
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 3.0000e+00 5.3000e+01 3.4765e+01],24,B0005,201,5322,05322.csv,1.684902909,61
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 8.0000e+00 4.4000e+01 4.0859e+01],24,B0005,205,5326,05326.csv,1.674474159,62
discharge,[2.008e+03 5.000e+00 2.000e+00 1.300e+01 4.300e+01 5.093e+00],24,B0005,209,5330,05330.csv,1.674569248,63
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 1.9000e+01 7.0000e+00 4.8359e+01],24,B0005,213,5334,05334.csv,1.663716376,64
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 2.3000e+01 2.4000e+01 1.7687e+01],24,B0005,215,5336,05336.csv,1.659013869,65
discharge,[2008.       5.       3.       4.      13.       8.609],24,B0005,219,5340,05340.csv,1.653854057,66
discharge,[2008.       5.       3.       9.      10.      19.812],24,B0005,223,5344,05344.csv,1.642653782,67
discharge,[2008.       5.       3.      14.       4.      34.187],24,B0005,227,5348,05348.csv,1.637857843,68
discharge,[2008.       5.       3.      18.      58.      13.468],24,B0005,231,5352,05352.csv,1.632735041,69
discharge,[2008.       5.       3.      23.      42.      30.093],24,B0005,235,5356,05356.csv,1.627752892,70
discharge,[2008    5    4    4   41   40],24,B0005,239,5360,05360.csv,1.622125486,71
discharge,[2008.       5.       4.       9.      40.      11.906],24,B0005,243,5364,05364.csv,1.61132566,72
discharge,[2008.       5.       4.      14.      38.      13.359],24,B0005,247,5368,05368.csv,1.60656314,73
discharge,[2008.      5.      4.     19.     37.      7.89],24,B0005,251,5372,05372.csv,1.601514223,74
discharge,[2008.       5.       5.       0.      35.      53.968],24,B0005,255,5376,05376.csv,1.590369231,75
discharge,[2008.       5.       5.       5.      28.      13.937],24,B0005,259,5380,05380.csv,1.585788997,76
discharge,[2008.     5.     5.    11.    41.    31.5],24,B0005,263,5384,05384.csv,1.584943071,77
discharge,[2008.       5.       5.      20.      40.       8.562],24,B0005,265,5386,05386.csv,1.595526389,78
discharge,[2.0080e+03 5.0000e+00 6.0000e+00 1.0000e+00 3.8000e+01 4.6265e+01],24,B0005,269,5390,05390.csv,1.574730175,79
discharge,[2008.       5.       6.       6.      37.       6.296],24,B0005,273,5394,05394.csv,1.564901995,80
discharge,[2008.       5.       6.      11.      25.      21.031],24,B0005,277,5398,05398.csv,1.559765947,81
discharge,[2008.       5.       6.      16.      23.      36.296],24,B0005,281,5402,05402.csv,1.559481567,82
discharge,[2008.       5.       6.      21.      21.      49.265],24,B0005,285,5406,05406.csv,1.554689354,83
discharge,[2.0080e+03 5.0000e+00 7.0000e+00 2.0000e+00 1.7000e+01 2.5156e+01],24,B0005,289,5410,05410.csv,1.548874108,84
discharge,[2008.       5.       7.       7.       4.       2.109],24,B0005,293,5414,05414.csv,1.538236599,85
discharge,[2.0080e+03 5.0000e+00 7.0000e+00 1.2000e+01 1.0000e+00 4.9906e+01],24,B0005,297,5418,05418.csv,1.527914258,86
discharge,[2008.       5.       7.      16.      59.      29.937],24,B0005,301,5422,05422.csv,1.528525263,87
discharge,[2008.       5.       7.      21.      56.       9.656],24,B0005,305,5426,05426.csv,1.522647325,88
discharge,[2.0080e+03 5.0000e+00 8.0000e+00 2.0000e+00 5.3000e+01 4.9937e+01],24,B0005,309,5430,05430.csv,1.517485994,89
discharge,[2008    5    9   12   25    7],24,B0005,312,5433,05433.csv,1.605818899,90
discharge,[2008.       5.       9.      20.      28.       9.734],24,B0005,315,5436,05436.csv,1.563849145,91
discharge,[2.008e+03 5.000e+00 1.000e+01 1.000e+00 2.100e+01 5.650e+01],24,B0005,319,5440,05440.csv,1.548091525,92
discharge,[2008    5   10    6   18   12],24,B0005,323,5444,05444.csv,1.532375563,93
discharge,[2008.       5.      10.      11.      16.       4.843],24,B0005,327,5448,05448.csv,1.526952827,94
discharge,[2008.       5.      10.      16.      11.      56.109],24,B0005,331,5452,05452.csv,1.516957302,95
discharge,[2008.       5.      10.      21.       7.      54.625],24,B0005,335,5456,05456.csv,1.511897596,96
discharge,[2.0080e+03 5.0000e+00 1.1000e+01 2.0000e+00 5.0000e+00 2.1796e+01],24,B0005,339,5460,05460.csv,1.506563896,97
discharge,[2008.       5.      11.       6.      55.      27.734],24,B0005,343,5464,05464.csv,1.501545353,98
discharge,[2008.       5.      11.      11.      52.      47.187],24,B0005,347,5468,05468.csv,1.490844405,99
discharge,[2008.       5.      11.      16.      49.      58.921],24,B0005,351,5472,05472.csv,1.485868385,100
discharge,[2008.       5.      11.      21.      47.      12.843],24,B0005,355,5476,05476.csv,1.480413678,101
discharge,[2.0080e+03 5.0000e+00 1.2000e+01 2.0000e+00 3.6000e+01 5.8921e+01],24,B0005,359,5480,05480.csv,1.475209587,102
discharge,[2008.       5.      12.      12.      56.      34.781],24,B0005,363,5484,05484.csv,1.485903599,103
discharge,[2008.       5.      12.      18.      59.      59.453],24,B0005,366,5487,05487.csv,1.49609183,104
discharge,[2008.       5.      12.      23.      53.      17.609],24,B0005,370,5491,05491.csv,1.480800595,105
discharge,[2008.       5.      13.       4.      35.      25.359],24,B0005,374,5495,05495.csv,1.469754327,106
discharge,[2008.       5.      13.       9.      24.       4.718],24,B0005,378,5499,05499.csv,1.453901227,107
discharge,[2008.       5.      13.      14.      20.      24.937],24,B0005,382,5503,05503.csv,1.454146207,108
discharge,[2008.       5.      13.      19.       4.      20.531],24,B0005,386,5507,05507.csv,1.455023752,109
discharge,[2008.       5.      13.      23.      59.      26.015],24,B0005,390,5511,05511.csv,1.449042164,110
discharge,[2008.       5.      14.       4.      55.      57.453],24,B0005,394,5515,05515.csv,1.438670937,111
discharge,[2008.       5.      14.       9.      52.      22.062],24,B0005,398,5519,05519.csv,1.433445432,112
discharge,[2008.       5.      14.      14.      35.      22.515],24,B0005,402,5523,05523.csv,1.43339589,113
discharge,[2008.      5.     14.     19.     31.     39.39],24,B0005,406,5527,05527.csv,1.428064873,114
discharge,[2008.       5.      15.       0.      27.      55.625],24,B0005,410,5531,05531.csv,1.422920318,115
discharge,[2008.      5.     15.      5.     24.      4.89],24,B0005,414,5535,05535.csv,1.417429033,116
discharge,[2008.       5.      15.      10.      20.       3.875],24,B0005,418,5539,05539.csv,1.412409229,117
discharge,[2008.       5.      15.      15.      10.      59.437],24,B0005,422,5543,05543.csv,1.412578793,118
discharge,[2008.      5.     15.     19.     56.     47.39],24,B0005,426,5547,05547.csv,1.407598373,119
discharge,[2008.       5.      16.      16.      54.      59.812],24,B0005,430,5551,05551.csv,1.433392049,120
discharge,[2008.       5.      16.      21.      37.      39.671],24,B0005,432,5553,05553.csv,1.438255018,121
discharge,[2.0080e+03 5.0000e+00 1.7000e+01 2.0000e+00 3.2000e+01 1.3968e+01],24,B0005,436,5557,05557.csv,1.417354717,122
discharge,[2008.       5.      17.       7.      25.      19.906],24,B0005,440,5561,05561.csv,1.406981664,123
discharge,[2008.      5.     17.     12.     21.     15.89],24,B0005,444,5565,05565.csv,1.401203778,124
discharge,[2008.       5.      17.      17.      15.      37.281],24,B0005,448,5569,05569.csv,1.396700823,125
discharge,[2008.       5.      17.      22.      10.      51.218],24,B0005,452,5573,05573.csv,1.391284789,126
discharge,[2008.       5.      18.       3.       5.      19.265],24,B0005,456,5577,05577.csv,1.386228768,127
discharge,[2008.       5.      18.       8.       0.      50.421],24,B0005,460,5581,05581.csv,1.380436676,128
discharge,[2008.       5.      18.      12.      44.      48.437],24,B0005,464,5585,05585.csv,1.375236415,129
discharge,[2008.       5.      18.      17.      36.      29.734],24,B0005,468,5589,05589.csv,1.370512802,130
discharge,[2008.       5.      18.      22.      31.      45.515],24,B0005,472,5593,05593.csv,1.370508557,131
discharge,[2008.       5.      19.       3.      27.       7.765],24,B0005,476,5597,05597.csv,1.364735511,132
discharge,[2008.       5.      19.      15.      34.      33.625],24,B0005,480,5601,05601.csv,1.375392017,133
discharge,[2008.       5.      19.      20.      59.      48.437],24,B0005,482,5603,05603.csv,1.386111515,134
discharge,[2.0080e+03 5.0000e+00 2.0000e+01 1.0000e+00 1.6000e+01 4.2609e+01],24,B0005,484,5605,05605.csv,1.369850004,135
discharge,[2008.       5.      20.       6.      12.       6.265],24,B0005,488,5609,05609.csv,1.364782795,136
discharge,[2008.       5.      20.      11.       7.      23.453],24,B0005,492,5613,05613.csv,1.354322047,137
discharge,[2008.       5.      20.      15.      57.      27.312],24,B0005,496,5617,05617.csv,1.354641702,138
discharge,[2008.       5.      20.      20.      50.      39.015],24,B0005,500,5621,05621.csv,1.354703921,139
discharge,[2.0080e+03 5.0000e+00 2.1000e+01 1.0000e+00 3.9000e+01 3.8968e+01],24,B0005,504,5625,05625.csv,1.349314998,140
discharge,[2008.       5.      21.       6.      24.      27.281],24,B0005,508,5629,05629.csv,1.344189194,141
discharge,[2008.       5.      21.      11.      18.       6.015],24,B0005,512,5633,05633.csv,1.338991379,142
discharge,[2008.       5.      21.      16.      10.      21.203],24,B0005,516,5637,05637.csv,1.338914523,143
discharge,[2.008e+03 5.000e+00 2.100e+01 2.100e+01 2.000e+00 9.781e+00],24,B0005,520,5641,05641.csv,1.334006676,144
discharge,[2.0080e+03 5.0000e+00 2.2000e+01 1.0000e+00 4.2000e+01 5.9218e+01],24,B0005,524,5645,05645.csv,1.328644431,145
discharge,[2008.       5.      22.       6.      32.      40.921],24,B0005,528,5649,05649.csv,1.323170899,146
discharge,[2008.       5.      22.      11.      23.      22.187],24,B0005,532,5653,05653.csv,1.318169159,147
discharge,[2008.      5.     22.     16.     17.     58.89],24,B0005,536,5657,05657.csv,1.318466444,148
discharge,[2008.       5.      22.      20.      59.      50.203],24,B0005,540,5661,05661.csv,1.31829304,149
discharge,[2008.       5.      23.      12.      13.      16.359],24,B0005,544,5665,05665.csv,1.323872422,150
discharge,[2008.       5.      23.      20.      14.      29.875],24,B0005,547,5668,05668.csv,1.360121677,151
discharge,[2.0080e+03 5.0000e+00 2.4000e+01 1.0000e+00 9.0000e+00 2.1562e+01],24,B0005,551,5672,05672.csv,1.339530687,152
discharge,[2008.       5.      24.       6.       0.      20.156],24,B0005,555,5676,05676.csv,1.329028657,153
discharge,[2008.       5.      24.      10.      42.      50.484],24,B0005,559,5680,05680.csv,1.323674127,154
discharge,[2008.       5.      24.      15.      31.      10.593],24,B0005,563,5684,05684.csv,1.318633897,155
discharge,[2008.       5.      24.      20.      21.      13.437],24,B0005,567,5688,05688.csv,1.313475132,156
discharge,[2.0080e+03 5.0000e+00 2.5000e+01 1.0000e+00 6.0000e+00 4.9828e+01],24,B0005,571,5692,05692.csv,1.313202063,157
discharge,[2008.      5.     25.      5.     57.     17.89],24,B0005,575,5696,05696.csv,1.307795995,158
discharge,[2008.       5.      25.      10.      51.      37.015],24,B0005,579,5700,05700.csv,1.303032919,159
discharge,[2008.      5.     25.     15.     37.      8.89],24,B0005,583,5704,05704.csv,1.303357356,160
discharge,[2008.       5.      25.      20.      23.       4.453],24,B0005,587,5708,05708.csv,1.303410044,161
discharge,[2.008e+03 5.000e+00 2.600e+01 1.000e+00 1.300e+01 2.796e+00],24,B0005,591,5712,05712.csv,1.297887081,162
discharge,[2.008e+03 5.000e+00 2.600e+01 6.000e+00 1.000e+00 8.171e+00],24,B0005,595,5716,05716.csv,1.298073506,163
discharge,[2008.       5.      26.      10.      44.      38.468],24,B0005,599,5720,05720.csv,1.293463614,164
discharge,[2008.       5.      26.      15.      30.      43.968],24,B0005,603,5724,05724.csv,1.288003393,165
discharge,[2008.       5.      26.      20.      21.       4.921],24,B0005,607,5728,05728.csv,1.287452522,166
discharge,[2008.       5.      27.      15.      52.      41.359],24,B0005,611,5732,05732.csv,1.309015364,167
discharge,[2008.       5.      27.      20.      45.      42.125],24,B0005,613,5734,05734.csv,1.325079329,168
